Gender,Age,Height,Weight,Current_Activity_Level,Exercise_Frequency,Experience_Level,Goals,Perceived_Barriers,Exercise_Types,Equipment_Availability,Preferred_Workout_Location,Preferred_Time,Exercise_Duration
Female,43,5.9,145,Good,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,0
Female,18,5.9,145,Good,1 to 2 times a week,Beginner,I want to be flexible,I don't have enough time,Yoga,Yoga mat,Home,Afternoon,60
Female,23,5.4,135,Average,Never,Beginner,I want to lose weight;I want to relieve stress,I don't have enough time,I don't really exercise,No equipment,Home,Early morning,0
Female,17,5.5,110,Very good,1 to 2 times a week,Intermediate,I want to be fit,I don't have enough time,Yoga,Yoga mat,Home,Evening,30
Female,16,5.3,125,Average,1 to 2 times a week,Beginner,I want to relieve stress,I can't stay motivated,Gym,Full gym access,Gym,Evening,60
Female,24,5.4,100,Perfect,Never,Intermediate,I want to be fit,I always busy with my regular works,I don't really exercise,No equipment,Home,Early morning,0
Female,44,5.4,135,Good,5 to 6 times a week,Advanced,I want to lose weight;I want to be flexible,I exercise regularly with no barriers,Walking or jogging;Yoga,Yoga mat,Outdoors,Evening,60
Female,49,5.5,120,Very good,1 to 2 times a week,Intermediate,I want to be fit;I want to be flexible,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,25,5.8,125,Good,1 to 2 times a week,Beginner,I want to relieve stress,I don't have enough time;I can't stay motivated,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,18,5.9,134,Good,3 to 4 times a week,Intermediate,I want to be flexible,I'll become too tired,Walking or jogging;Zumba dance,No equipment,Outdoors,Evening,30
Female,16,5.7,135,Average,2 to 3 times a week,Beginner,I want to be fit;I want to lose weight;I want to be flexible,I don't have enough time,Walking or jogging;Zumba dance,No equipment,Outdoors,Early morning,60
Female,15,5.7,133,Good,1 to 2 times a week,Advanced,I want to relieve stress,I exercise regularly with no barriers,Walking or jogging;Team sport,Full gym access,Outdoors,Early morning,120
Female,18,5.6,125,Good,5 to 6 times a week,Advanced,I want to be fit;I want to lose weight;I want to achieve a sporting goal,I don't have enough time;I can't stay motivated;I'll become too tired,Walking or jogging;Team sport,Full gym access,Outdoors,Early morning,30
Female,15,5.2,175,Unfit,1 to 2 times a week,Beginner,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress,I can't stay motivated,Zumba dance,No equipment,Home,Evening,60
Female,23,5.3,115,Very good,5 to 6 times a week,Advanced,I want to relieve stress,I don't have enough time,Lifting weights,Full gym access,Gym,Early morning,120
Female,24,5.8,150,Average,1 to 2 times a week,Beginner,I want to lose weight,I'll become too tired,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,25,5.5,140,Average,Everyday,Beginner,I'm sorry ... I'm not really interested in exercising,I'll become too tired;I have an injury,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,22,5.8,130,Good,5 to 6 times a week,Advanced,I want to be fit;I want to increase muscle mass and strength;I want to lose weight,I don't have enough time,Walking or jogging;Gym;Team sport,Full gym access,Gym,Early morning,120
Female,24,5.3,120,Good,1 to 2 times a week,Beginner,I want to be fit;I want to be flexible;I want to relieve stress,I can't stay motivated,Walking or jogging,No equipment,Outdoors,Evening,30
Female,24,6,155,Good,3 to 4 times a week,Advanced,I want to lose weight;I want to be flexible,I exercise regularly with no barriers,Walking or jogging,No equipment,Outdoors,Evening,60
Female,17,5.2,170,Unfit,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I can't stay motivated;I'll become too tired;I don't really enjoy exercising,Walking or jogging;I don't really exercise,No equipment,Outdoors,Evening,0
Female,15,5.3,120,Good,Everyday,Intermediate,I want to be fit;I want to lose weight,I have an injury,Gym,Full gym access,Gym,Evening,60
Female,20,5.1,125,Good,1 to 2 times a week,Intermediate,I want to be fit;I want to relieve stress,I don't have enough time,Walking or jogging;Gym,Full gym access,Gym,Evening,60
Female,23,5.7,133,Good,1 to 2 times a week,Intermediate,I want to be fit;I want to relieve stress,I don't have enough time,Walking or jogging;Gym,Full gym access,Gym,Evening,60
Female,25,5.9,130,Average,3 to 4 times a week,Intermediate,I want to be fit;I want to lose weight;I want to relieve stress,I can't stay motivated,Walking or jogging;Lifting weights,Full gym access,Outdoors,Early morning,60
Female,24,5.6,119,Very good,Everyday,Advanced,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress,I don't have enough time,Gym,Full gym access,Gym,Evening,120
Female,21,6,170,Average,5 to 6 times a week,Intermediate,I want to relieve stress,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,30
Female,18,5.3,129,Good,2 to 3 times a week,Intermediate,I want to be fit;I want to increase muscle mass and strength;I want to relieve stress,I don't have enough time;I can't stay motivated;I'll become too tired,Walking or jogging;Yoga,Yoga mat,Outdoors,Evening,30
Female,20,5.3,120,Good,3 to 4 times a week,Intermediate,I want to be fit;I want to lose weight;I want to relieve stress,I'll become too tired;I don't really enjoy exercising,Walking or jogging;Yoga;Team sport,Full gym access,Outdoors,Evening,60
Female,25,5.4,130,Average,2 to 3 times a week,Intermediate,I want to lose weight,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,36,5.4,125,Unfit,3 to 4 times a week,Intermediate,I want to relieve stress,I'll become too tired,Yoga,Yoga mat,Home,Early morning,30
Female,25,5.4,138,Good,Never,Beginner,I want to relieve stress,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,0
Female,20,5.3,130,Average,Never,Beginner,I want to lose weight,I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,0
Female,16,4.9,98,Good,1 to 2 times a week,Beginner,I want to be fit,I have an injury,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,18,5.2,155,Unfit,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I don't have enough time,I don't really exercise,No equipment,Home,Early morning,0
Female,21,4.9,99,Good,1 to 2 times a week,Beginner,I want to lose weight;I want to be flexible,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,60
Female,29,5.4,135,Average,1 to 2 times a week,Beginner,I want to lose weight,I can't stay motivated,Walking or jogging,No equipment,Outdoors,Early morning,0
Female,16,5.6,145,Average,3 to 4 times a week,Intermediate,I want to lose weight,I don't have enough time;I can't stay motivated;I don't really enjoy exercising,Walking or jogging;Gym,Full gym access,Gym,Early morning,60
Female,24,5.5,130,Good,2 to 3 times a week,Intermediate,I want to relieve stress,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,0
Female,22,5.4,110,Good,3 to 4 times a week,Intermediate,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress,I don't have enough time,Walking or jogging;Team sport,Full gym access,Outdoors,Evening,60
Female,29,5.4,165,Unfit,Never,Beginner,I want to be fit,I don't have enough time,I don't really exercise,No equipment,Home,Early morning,0
Female,24,5.4,145,Average,1 to 2 times a week,Intermediate,I want to be fit;I want to lose weight;I want to relieve stress;I want to achieve a sporting goal,I can't stay motivated;Laziness mostly ,Walking or jogging;Swimming;Yoga,Yoga mat,Outdoors,Early morning,120
Female,20,5.4,118,Good,2 to 3 times a week,Beginner,I want to be fit;I want to lose weight;I want to be flexible,I can't stay motivated;I'll become too tired;I don't really enjoy exercising,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,25,5.1,130,Good,Never,Beginner,I want to be fit,I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,0
Female,37,5.5,115,Good,Never,Beginner,Not doing exercise,I don't have enough time,I don't really exercise,No equipment,Home,Evening,0
Female,24,5.3,150,Good,Everyday,Intermediate,I want to relieve stress,I don't have enough time,Team sport,Full gym access,Outdoors,Evening,60
Female,22,5,110,Good,1 to 2 times a week,Beginner,I want to be fit;I want to lose weight;I want to be flexible,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,25,5.5,120,Good,1 to 2 times a week,Beginner,I want to be fit,I can't stay motivated,Walking or jogging,No equipment,Outdoors,Evening,30
Female,22,5.2,120,Good,2 to 3 times a week,Intermediate,I want to be fit;I want to be flexible,I don't have enough time,Walking or jogging;Yoga,Yoga mat,Outdoors,Evening,30
Female,49,5.8,155,Average,1 to 2 times a week,Beginner,I want to relieve stress,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,30
Female,24,5.5,140,Unfit,Never,Beginner,I want to be fit;I want to increase muscle mass and strength;I want to relieve stress;I want to achieve a sporting goal,I don't have enough time;I can't stay motivated;I'll become too tired,Walking or jogging;Gym;Yoga;Zumba dance,Full gym access; Yoga mat,Gym,Evening,30
Female,17,5.5,130,Good,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,30
Female,23,5.1,130,Average,2 to 3 times a week,Beginner,I want to be fit,I'll become too tired,Walking or jogging,No equipment,Outdoors,Evening,30
Female,23,5.2,155,Unfit,Never,Beginner,I want to be fit;I want to be flexible;I want to relieve stress,I can't stay motivated;I'll become too tired,I don't really exercise,No equipment,Home,Early morning,0
Female,20,5.6,175,Unfit,Never,Beginner,I want to be fit;I want to lose weight,I don't have enough time;I'll become too tired,Walking or jogging;Gym;Zumba dance,Full gym access,Gym,Early morning,0
Female,23,5,100,Very good,1 to 2 times a week,Beginner,I want to be fit,I don't really enjoy exercising,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,18,5.3,130,Average,1 to 2 times a week,Beginner,I want to be fit;I want to lose weight;I want to relieve stress;I want to achieve a sporting goal,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,60
Female,33,5.1,115,Good,1 to 2 times a week,Beginner,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,60
Female,25,5.5,110,Good,1 to 2 times a week,Beginner,I want to be fit,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,60
Female,23,4.9,145,Average,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,0
Female,15,5.6,130,Good,Never,Beginner,I want to increase muscle mass and strength,I can't stay motivated,Walking or jogging,No equipment,Outdoors,Early morning,0
Female,25,4.6,85,Average,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I can't stay motivated,Yoga,Yoga mat,Home,Early morning,0
Female,17,4.7,92,Average,Never,Beginner,I want to be fit;I want to be flexible,I don't have enough time;I can't stay motivated,Zumba dance,No equipment,Home,Evening,0
Female,27,5,120,Average,1 to 2 times a week,Intermediate,I want to be fit;I want to lose weight;I want to be flexible,I can't stay motivated;I'll become too tired,Walking or jogging;Yoga,Yoga mat,Outdoors,Evening,30
Female,25,5,120,Average,1 to 2 times a week,Beginner,I want to be fit;I want to lose weight,I'll become too tired,Walking or jogging;Zumba dance,No equipment,Outdoors,Evening,60
Female,37,5.5,130,Good,1 to 2 times a week,Intermediate,I want to be fit,I don't have enough time,Gym;Swimming,Full gym access,Gym,Evening,60
Female,17,5.5,110,Good,1 to 2 times a week,Intermediate,I want to be fit;I want to lose weight,I don't have enough time,Walking or jogging;Gym,Full gym access,Gym,Evening,60
Female,15,4.8,88,Average,1 to 2 times a week,Beginner,I want to lose weight,I don't have enough time;I can't stay motivated,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,15,5.4,115,Very good,Everyday,Advanced,I want to be fit;I want to lose weight;I want to relieve stress,I don't have enough time;I'll become too tired,Walking or jogging;Gym;Yoga,Full gym access; Yoga mat,Gym,Early morning,30
Female,24,5.5,129,Good,Everyday,Advanced,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress,I can't stay motivated,Walking or jogging;Gym,Full gym access,Gym,Evening,60
Female,17,5.2,135,Good,1 to 2 times a week,Beginner,I want to lose weight,I don't have enough time,Gym,Full gym access,Gym,Evening,60
Female,29,5.3,130,Good,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I don't have enough time;I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,0
Female,48,5.6,150,Good,2 to 3 times a week,Intermediate,I want to be fit;I want to lose weight;I want to relieve stress,I don't have enough time,Walking or jogging;Gym;Yoga;Zumba dance,Full gym access; Yoga mat,Gym,Early morning,60
Female,41,5.4,135,Average,3 to 4 times a week,Intermediate,I want to be fit;I want to lose weight;I want to relieve stress,I can't stay motivated,Walking or jogging,No equipment,Outdoors,Evening,30
Female,15,5.4,110,Good,5 to 6 times a week,Advanced,I want to be fit;I want to be flexible,Travel time I skip,Gym,Full gym access,Gym,Early morning,60
Female,43,5.2,115,Very good,Everyday,Advanced,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress,I exercise regularly with no barriers,Yoga,Yoga mat,Home,Early morning,60
Female,44,5.3,130,Average,1 to 2 times a week,Beginner,I want to relieve stress,I'll become too tired;I don't really enjoy exercising,Walking or jogging,No equipment,Outdoors,Evening,30
Female,45,5.4,130,Average,1 to 2 times a week,Beginner,I want to be fit,I can't stay motivated,Walking or jogging,No equipment,Outdoors,Evening,30
Female,48,5.8,145,Good,3 to 4 times a week,Intermediate,I want to be fit;I want to lose weight;I want to be flexible;I want to achieve a sporting goal,I don't have enough time;I'll become too tired,Walking or jogging,No equipment,Outdoors,Early morning,60
Female,18,5.4,110,Perfect,3 to 4 times a week,Advanced,I want to be fit,I exercise regularly with no barriers,Walking or jogging,No equipment,Outdoors,Evening,30
Female,46,5.1,100,Very good,2 to 3 times a week,Intermediate,I want to be flexible,I'll become too tired,Zumba dance,No equipment,Home,Evening,60
Female,20,5.3,120,Good,1 to 2 times a week,Beginner,I want to be fit;I want to be flexible;I want to relieve stress,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,43,5.2,115,Very good,3 to 4 times a week,Intermediate,I want to be fit;I want to be flexible;I want to relieve stress;I want to achieve a sporting goal,I'll become too tired,Walking or jogging;Yoga,Yoga mat,Outdoors,Evening,30
Female,22,5.6,170,Unfit,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I don't have enough time;I can't stay motivated;I'll become too tired;I don't really enjoy exercising,I don't really exercise,No equipment,Home,Evening,0
Female,38,5.2,125,Average,1 to 2 times a week,Beginner,I want to be fit;I want to lose weight,I'll become too tired,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,23,5.5,140,Average,Never,Beginner,I want to be fit;I want to lose weight,I'll become too tired,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,18,5.6,140,Average,1 to 2 times a week,Beginner,I want to be fit;I want to lose weight,I don't have enough time;I can't stay motivated,Walking or jogging,No equipment,Outdoors,Evening,30
Female,33,5.4,115,Very good,5 to 6 times a week,Advanced,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I want to achieve a sporting goal,I don't have enough time;I have an injury,Walking or jogging;Gym;Swimming;Lifting weights,Full gym access,Gym,Early morning,120
Female,29,5.5,135,Average,1 to 2 times a week,Beginner,I want to be fit;I want to lose weight,I don't have enough time;I can't stay motivated,Walking or jogging,No equipment,Outdoors,Evening,30
Female,22,5.4,135,Average,1 to 2 times a week,Beginner,I want to lose weight,I'll become too tired,Walking or jogging;Yoga,Yoga mat,Outdoors,Early morning,120
Female,28,5.8,145,Good,1 to 2 times a week,Advanced,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress,I can't stay motivated;I exercise regularly with no barriers,Walking or jogging;Yoga;Lifting weights;Team sport,Full gym access; Yoga mat,Outdoors,Early morning,60
Female,44,4.8,85,Good,3 to 4 times a week,Advanced,I want to increase muscle mass and strength;I want to lose weight;I want to be flexible,I exercise regularly with no barriers,Walking or jogging;Yoga,Yoga mat,Outdoors,Early morning,30
Female,33,5.1,120,Average,1 to 2 times a week,Beginner,I want to be fit,I'll become too tired,Gym,Full gym access,Gym,Early morning,30
Female,23,5.6,145,Average,Everyday,Intermediate,I want to be fit;I want to be flexible;I want to relieve stress,I don't have enough time;I'll become too tired;I have an injury,Walking or jogging;Yoga,Yoga mat,Outdoors,Early morning,30
Female,46,5.3,130,Average,2 to 3 times a week,Beginner,I want to be fit;I want to lose weight,I'll become too tired,Walking or jogging;Gym,Full gym access,Gym,Evening,30
Female,24,5.2,122,Average,1 to 2 times a week,Beginner,I want to be fit;I want to lose weight;I want to relieve stress;I want to achieve a sporting goal,I can't stay motivated;Laziness mostly ,Walking or jogging;Swimming;Yoga,Full gym access;Yoga mat,Outdoors,Early morning,120
Female,47,5.3,120,Good,2 to 3 times a week,Intermediate,I want to be fit;I want to lose weight,I don't have enough time,Swimming;Zumba dance,Full gym access,Home,Evening,120
Female,17,5.3,130,Average,Never,Beginner,I want to be fit,I don't have enough time,I don't really exercise,No equipment,Home,Early morning,30
Female,15,5.7,150,Average,1 to 2 times a week,Beginner,I'm sorry ... I'm not really interested in exercising,I don't have enough time,I don't really exercise,No equipment,Home,Early morning,30
Female,45,5.6,145,Good,3 to 4 times a week,Intermediate,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress;I want to achieve a sporting goal,I can't stay motivated,Zumba dance;Team sport,Full gym access,Gym,Evening,60
Female,18,5,110,Good,3 to 4 times a week,Intermediate,I want to be fit;I want to lose weight;I want to achieve a sporting goal,I don't have enough time;I can't stay motivated,Walking or jogging;Gym;Zumba dance,Full gym access,Gym,Evening,30
Female,15,5.2,105,Perfect,Everyday,Advanced,I want to relieve stress,I can't stay motivated,Walking or jogging;Swimming;Yoga;Zumba dance,Full gym access;Yoga mat,Outdoors,Evening,180
Female,17,5.6,120,Good,3 to 4 times a week,Advanced,I want to be fit;I want to lose weight;I want to be flexible,I exercise regularly with no barriers,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,49,5.3,132,Good,5 to 6 times a week,Intermediate,I want to relieve stress,I don't have enough time,Team sport,Full gym access,Outdoors,Evening,60
Female,15,5.4,130,Average,2 to 3 times a week,Beginner,I want to be fit;I want to lose weight;I want to be flexible,I don't have enough time;I can't stay motivated,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,20,5.2,128,Average,2 to 3 times a week,Beginner,I want to be fit;I want to lose weight;I want to be flexible,I don't have enough time;I can't stay motivated,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,44,5.5,138,Good,2 to 3 times a week,Beginner,I want to be flexible,I don't have enough time,Yoga;Zumba dance,Yoga mat,Home,Early morning,30
Female,22,5.1,125,Good,3 to 4 times a week,Intermediate,I want to lose weight,I can't stay motivated,Yoga,Yoga mat,Home,Early morning,30
Female,48,5.4,135,Good,Everyday,Intermediate,I want to be fit;I want to lose weight;I want to be flexible,I don't have enough time;I have an injury,Walking or jogging;Yoga;Zumba dance,Yoga mat,Home,Early morning,30
Female,42,5.4,135,Good,1 to 2 times a week,Beginner,I want to be fit;I want to lose weight,I'll become too tired,Walking or jogging;Yoga,Yoga mat,Outdoors,Evening,60
Female,46,5.4,135,Good,Never,Beginner,I want to be fit;I want to be flexible,I can't stay motivated,I don't really exercise,No equipment,Home,Early morning,0
Female,15,5.2,125,Average,Never,Beginner,I want to lose weight,I can't stay motivated,I don't really exercise,No equipment,Home,Early morning,0
Female,23,5.3,128,Average,Never,Beginner,I want to be fit,I'll become too tired,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,25,5.3,132,Good,1 to 2 times a week,Beginner,I want to relieve stress,I don't really enjoy exercising,Walking or jogging,No equipment,Outdoors,Evening,30
Female,18,5.8,166,Unfit,1 to 2 times a week,Beginner,I want to be fit;I want to lose weight,I don't really enjoy exercising,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,29,5.2,117,Very good,Everyday,Intermediate,I want to relieve stress,I don't have enough time,Zumba dance,No equipment,Home,Evening,60
Female,21,5.3,160,Unfit,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I can't stay motivated;I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,0
Female,24,5.5,135,Average,2 to 3 times a week,Beginner,I want to be fit;I want to lose weight,I'll become too tired;I have an injury;Laziness,Walking or jogging;Zumba dance,No equipment,Home,Evening,30
Female,30,5.2,127,Good,5 to 6 times a week,Advanced,I want to lose weight;I want to be flexible;I want to relieve stress,I exercise regularly with no barriers,Gym,Full gym access,Gym,Early morning,60
Female,25,5.2,165,Unfit,Never,Beginner,I want to be fit;I want to lose weight,I can't stay motivated,I don't really exercise,No equipment,Home,Early morning,0
Female,26,5.4,135,Good,2 to 3 times a week,Intermediate,I want to lose weight,I can't stay motivated,Gym,Full gym access,Gym,Evening,60
Female,25,5.6,140,Average,1 to 2 times a week,Beginner,I want to be fit;I want to lose weight,I'll become too tired,Walking or jogging;Zumba dance,No equipment,Home,Evening,60
Female,28,5.4,117,Very good,2 to 3 times a week,Intermediate,I want to be fit;I want to lose weight,I don't have enough time;I'll become too tired,Walking or jogging;Gym,Full gym access,Gym,Evening,30
Female,46,5.7,148,Good,3 to 4 times a week,Intermediate,I want to be fit;I want to be flexible;I want to relieve stress,I don't have enough time;I can't stay motivated,Walking or jogging;Zumba dance,No equipment,Outdoors,Evening,60
Female,29,5.5,117,Very good,5 to 6 times a week,Advanced,I want to be fit;I want to be flexible;I want to relieve stress,I exercise regularly with no barriers,Walking or jogging;Gym,Full gym access,Gym,Afternoon,120
Female,26,5.4,115,Perfect,1 to 2 times a week,Beginner,I want to be flexible,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,30
Female,44,5.5,115,Perfect,1 to 2 times a week,Beginner,I want to be flexible,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,30
Female,42,5.6,115,Perfect,1 to 2 times a week,Beginner,I want to be flexible,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,30
Female,47,5.3,115,Perfect,1 to 2 times a week,Beginner,I want to be flexible,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,30
Female,40,5.2,120,Good,3 to 4 times a week,Advanced,I want to be fit;I want to relieve stress,I exercise regularly with no barriers,Walking or jogging;Gym;Swimming,Full gym access,Gym,Early morning,120
Female,42,5.6,140,Average,1 to 2 times a week,Intermediate,I want to lose weight;I want to be flexible,I can't stay motivated,Walking or jogging;Yoga,Yoga mat,Home,Early morning,30
Female,24,5.6,140,Average,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I don't have enough time;I can't stay motivated;I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,0
Male,43,6,175,Average,1 to 2 times a week,Beginner,I want to be flexible,I don't really enjoy exercising,Walking or jogging,No equipment,Outdoors,Early morning,30
Male,20,6,210,Unfit,3 to 4 times a week,Beginner,I want to be fit;I want to increase muscle mass and strength;I want to lose weight,I don't have enough time;I can't stay motivated;I'll become too tired;I don't really enjoy exercising,Gym;Team sport,Full gym access,Gym,Evening,60
Male,15,6.3,175,Very good,Everyday,Advanced,I want to be fit;I want to lose weight;I want to relieve stress,I don't have enough time;I exercise regularly with no barriers,Gym,Full gym access,Gym,Early morning,60
Male,17,5.9,150,Very good,3 to 4 times a week,Advanced,I want to be fit,I don't have enough time,Walking or jogging;Team sport,Full gym access,Outdoors,Early morning,60
Male,21,5.8,220,Unfit,1 to 2 times a week,Beginner,I want to be fit;I want to increase muscle mass and strength;I want to lose weight,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,120
Male,18,6.1,230,Unfit,Never,Beginner,I want to be fit;I want to increase muscle mass and strength;I want to lose weight,I can't stay motivated,I don't really exercise,No equipment,Home,Evening,0
Male,23,5.7,165,Average,1 to 2 times a week,Beginner,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I want to be flexible;I want to relieve stress;I want to achieve a sporting goal;Doing exercises prevents many diseases.So yeah saves a lot of money .,I don't have enough time;I'll become too tired;I have an injury,Walking or jogging,No equipment,Outdoors,Evening,30
Male,18,6,210,Unfit,Never,Beginner,I want to relieve stress;I'm sorry ... I'm not really interested in exercising,I don't have enough time;I'll become too tired;I don't really enjoy exercising,Walking or jogging;I don't really exercise,No equipment,Outdoors,Evening,0
Male,16,6.3,190,Good,1 to 2 times a week,Intermediate,I want to increase muscle mass and strength,I'll become too tired,Walking or jogging;Team sport,Full gym access,Gym,Early morning,60
Male,19,5.5,215,Unfit,Never,Beginner,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I want to be flexible;I want to relieve stress,I don't have enough time;I can't stay motivated;I'll become too tired;I have an injury,Walking or jogging,No equipment,Outdoors,Early morning,60
Male,17,5.7,155,Good,Everyday,Intermediate,I want to increase muscle mass and strength;I want to lose weight;I want to be flexible,I'll become too tired;I don't really enjoy exercising,Walking or jogging,No equipment,Outdoors,Early morning,30
Male,24,5.9,175,Average,2 to 3 times a week,Beginner,I want to be fit;I want to lose weight,I don't have enough time;I'll become too tired,Walking or jogging;Gym,Full gym access,Gym,Early morning,30
Male,21,6.1,170,Good,Never,Beginner,I want to be fit,I don't have enough time;I'll become too tired,Walking or jogging;I don't really exercise,No equipment,Outdoors,Evening,0
Male,45,6.1,230,Unfit,Never,Beginner,I want to be fit;I want to be flexible;I want to relieve stress,I don't have enough time;I can't stay motivated,I don't really exercise,No equipment,Home,Early morning,0
Male,18,5.6,160,Average,1 to 2 times a week,Beginner,I want to achieve a sporting goal,I can't stay motivated,Walking or jogging;Team sport,Full gym access,Outdoors,Evening,30
Male,23,5.9,175,Average,3 to 4 times a week,Beginner,I want to relieve stress;I want to achieve a sporting goal,I don't really enjoy exercising,Team sport,Full gym access,Gym,Evening,120
Male,25,6.4,190,Good,1 to 2 times a week,Beginner,I want to be fit;I want to be flexible;I want to relieve stress,I can't stay motivated,Walking or jogging;I don't really exercise,No equipment,Outdoors,Early morning,30
Male,17,6.3,185,Very good,Everyday,Advanced,I want to be fit;I want to increase muscle mass and strength;I want to relieve stress,I'll become too tired,Walking or jogging;Gym;Lifting weights;Team sport,Full gym access,Gym,Evening,120
Male,16,5.8,150,Very good,Everyday,Advanced,I want to be fit;I want to increase muscle mass and strength,I don't have enough time,Walking or jogging;Gym;Lifting weights,Full gym access,Gym,Evening,60
Male,18,5.3,140,Average,3 to 4 times a week,Intermediate,I want to be fit;I want to increase muscle mass and strength;I want to lose weight,I don't have enough time;I can't stay motivated;I'll become too tired,Walking or jogging;Gym;Yoga;Lifting weights,Full gym access;Yoga mat,Gym,Evening,120
Male,24,5.9,210,Unfit,1 to 2 times a week,Beginner,I want to be fit;I want to increase muscle mass and strength,I don't have enough time;I can't stay motivated,Yoga,Yoga mat,Home,Early morning,30
Male,18,5.6,130,Perfect,Everyday,Advanced,I want to be fit;Exercising gives you discipline and focus and removed bad thoughts from your mind.,I exercise regularly with no barriers,Gym;Swimming,Full gym access,Gym,Early morning,60
Male,20,5.9,170,Average,2 to 3 times a week,Intermediate,I want to be fit;I want to lose weight;I want to be flexible,I don't have enough time;I can't stay motivated,Gym,Full gym access,Gym,Early morning,60
Male,20,6.3,180,Very good,5 to 6 times a week,Advanced,I want to be fit;I want to increase muscle mass and strength;I want to be flexible;I want to relieve stress;I want to achieve a sporting goal,I don't have enough time;I exercise regularly with no barriers,Gym;Lifting weights;Team sport,Full gym access,Gym,Early morning,60
Male,20,6.5,190,Very good,Everyday,Intermediate,I want to be fit,I don't have enough time,Gym,Full gym access,Gym,Evening,120
Male,23,6,160,Perfect,2 to 3 times a week,Advanced,I want to be fit,I don't have enough time,Walking or jogging;Swimming;Lifting weights,Full gym access,Gym,Early morning,30
Male,18,5.9,175,Average,3 to 4 times a week,Intermediate,I want to be fit;I want to increase muscle mass and strength;I want to relieve stress,I don't have enough time;I can't stay motivated;I'll become too tired,Walking or jogging;Gym;Lifting weights,Full gym access,Gym,Early morning,0
Male,22,6.3,200,Average,3 to 4 times a week,Beginner,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I want to relieve stress,I don't have enough time;I can't stay motivated,Walking or jogging;Gym,Full gym access,Gym,Evening,60
